"Qty";"Value";"Footprint";"Designator";"JLC_PREF";"PART_NO"
"5";"100n";"0402_CAP";"C10, C12, C13, C14, C15";"C307331";"C0402-100NF-50V-X7R"
"5";"1K";"0402-RES";"R6, R7, R8, R10, R11";"C11702";"R0402-1K"
"2";"1X3PADS";"1X3_PADS";"J1, J2";"";""
"1";"JOYSTICK_SKQUCAA010";"SKQUCAA010";"S5";"";""
