"Qty";"Value";"Footprint";"Designator";"JLC_PREF";"PART_NO"
"3";"100n";"0402_CAP";"C1, C2, C3";"C307331";"C0402-100NF-50V-X7R"
"3";"1K";"0402-RES";"R1, R2, R3";"C11702";"R0402-1K"
"2";"1X4";"1X4_PADS";"J1, J2";"";""
"1";"PEL12T-4021F-S1024";"LED_PEL12T-4021F-S1024";"D1";"";""
