Comment,Designator,Footprint,LCSC Part #
ARGBWS2812-2020,S1 S2 S3 S4 S6 LED1 LED2 LED5 LED6 LED7,LED2020RGB,
DISP_LCD_GENERIC_SPI_1.47IN_172_320_NO_HOLES,DISP1,TFT_1.47IN_172X320_12P_NO_HOLES,
