Comment,Designator,Footprint,LCSC Part #
1K,R1 R2 R3 R4 R6 R7 R8 R10 R11 R12 R13,0402-RES,
1u,C5 C6 C17 C18 C19,0402_CAP,
5K1,R5,0402-RES,
10R,R9,0402-RES,
10u,C7 C8 C55,0603_CAP,
30_PINVERT,J1,F0503A-ZV-30-20T-R,
100n,C1 C2 C3 C4 C11 C16 C60,0402_CAP,
220R,R14,0402-RES,
741G32,U1,SOT23-5,
N-channel,Q1 Q2 Q3 Q4,SOT23,
